"HolderAddress","Balance","PendingBalanceUpdate"
"0x674295b530a1f69a4bc217fffb7e8bcdf9971678","24,287,339,481.7323","No"
"0x13bce500f21c92aed597aab2247cf27ca1116e30","20,628,421,273.75813920061212006","No"
"0xc920ffed02a1a0a697e097e9921bd55722e0419b","19,904,162,915.535432955971948523","No"
"0xed0862ea1853918ca6d0c63d17f03548343a0d6c","19,000,000,000.000029047985238097","No"
"0xa4c8d9e4ec5f2831701a81389465498b83f9457d","18,726,001,576.986166071336803472","No"
"0x032f84aeff59ddebc55797f321624826d873bf65","18,369,777,040","No"
"0x33f4668f5a9a36514d85657e699569dbda3d77f1","16,815,722,611.585346357899123858","No"
"0x37c6e14dbf846f6fed4f5983b238f58658190e87","16,312,764,961.244891912444757741","No"
"0xeae21b0fb5057db34d607893c698d54a17693dd0","10,417,680,204.955830948545291057","No"
"0x64440444a1fd95d271438b7b0199ea5f1844661b","8,754,063,488.395676457249244986","No"
"0x106a66852f09c10751d558d137d28b69d8c88a21","7,815,652,074.549207572717960828","No"
"0x600a9815c15c29de5fb087d0a58c56b48d5d5ca5","7,543,209,312.853274373706488964","No"
"0xa4bb69d37421b932707b242fa3061a72d107d326","7,212,532,498.184640243941294275","No"
"0x5593b57d06458f62b1a4f31a997945a3b51fc2fd","6,903,746,584.352171713405387661","No"
"0x64f0d40a9dab3b3288782c91b168efb8531b5210","6,666,610,487.878653286042704547","No"
"0x76689ec1706693aa232c54045ee4cd9e8f130bde","6,604,592,813.75698076277683558","No"
"0x58244ea236d2ff57c023a4028e228f77dc328894","6,302,535,812.10867135139476543","No"
"0x37e9d72ec2254665f90cad092016e54bb20201b1","6,269,496,167.650169235883884948","No"
"0x9979ca3f09ace14230d5c5883fc75e31e4693941","6,130,325,713.092248044904615176","No"
"0x397fc2ee307dc713097f10800a962180e7d530d6","5,775,828,018.962513292506367473","No"
"0xcb094a9bcf54961985619a0217c4c7d8e4c3538a","5,625,528,426.070301110220893528","No"
"0xdbd296c51b1d32f5d8cc58cd6f8a5f70e6d92d33","5,366,239,677.405876655142347057","No"
"0x2d48bdcb10e90be038f8884de3330c7cce94365e","5,323,011,332.825068783788112068","No"
"0x4b3ce25bf2d97e4d917b6d5d54efa29f1319b764","5,036,750,774.237845451716590877","No"
"0x6b5c3d423e7ccd2a45bfd9996e1353e3d4313319","4,600,000,000","No"
